feature_name,feature_tag,Name,Address,Latitude,Longitude,Location (CS),State,Nearest(poi)
mixstore,convenience_store,MiX Store @ Sungai Long,"30, Jalan SL 1/2, Bandar Sungai Long, 43000 Kajang, Selangor",3.039416,101.7917833,Sungai Long,Selangor,"['Q&Q Car Wash', '山水楼茶室', '饼师父 Beng See Full Bakery']"
mixstore,convenience_store,MiX Store @ Kota Kemuning,"27-G, Jalan Anggerik Vanilla X 31/X,Kota Kemuning, Seksyen 31, 40460 Shah Alam, Selangor.",3.004702,101.5325043,Kota Kemuning,Selangor,"['Canal Gardens', 'One-Stop Home Centre', 'Maslow Trainers & Consultants Sdn Bhd']"
mixstore,convenience_store,MiX Store @ USJ Taipan,"NO 4 , Taipan Business Centre, Jalan USJ 10/1B，47620 Subang Jaya, Selangor",3.0487088,101.5833955,USJ Taipan,Selangor,"['Burger King', 'Aurora School Of Dance Taipan', 'Big Pharmacy']"
mixstore,convenience_store,MiX Store @ Setia Alam,"10-1-1, Jalan Setia Prima E U13/E, Setia Alam, 40170 Shah Alam, Selangor",3.095587,101.4429303,Setia Alam,Selangor,"['Hair Porter', 'Barbero', 'Haven Lighting']"
mixstore,convenience_store,MiX Store @ Balakong,"No.121-G, Jalan Dataran Cheras 8, Dataran Perniagaan Cheras, 43200 Cheras, Balakong,  Selangor.",3.035207,101.7638701,Balakong,Selangor,"['Luminous Cheras Traders Square', 'To Gather 讲饮讲食', '黑鲸 The Black Whale']"
mixstore,convenience_store,MiX Store @ Bandar Puteri Puchong,"No.54, Jalan Puteri 1/2, Bandar Puteri, 47100 Puchong, Selangor",3.0278438,101.6161266,Bandar Puteri Puchong,Selangor,"['HooElse Studio', 'Cosmocell Spa & Beauty']"
mixstore,convenience_store,MiX Store @ Bandar Botanik Klang,"No.98, Jalan Mahogani 1, Bandar Botanik, 41200 Klang, Selangor",2.9937227,101.4448748,Bandar Botanik Klang,Selangor,"['G2000', 'Yoshinoya Hanamaru', ""L'occitane""]"
mixstore,convenience_store,MiX Store @ Kota Damansara (KD),"No.38, Jalan PJU 5/10, Dataran Sunway, 47810 Petaling Jaya, Selangor",3.1515539,101.5915766,Kota Damansara (KD),Selangor,"['Kent Kitchen', 'Taiwan Recipe (台湾小吃)', 'The Black Whale']"
mixstore,convenience_store,MiX Store @ Bandar Sunway Mentari,"No.8, Jalan PJS 8/12, Bandar Sunway, 46150 Petaling Jaya, Selangor",3.0793546,101.6111389,Bandar Sunway Mentari,Selangor,"['Restoran Ayam Penyet Bukit', 'CS Foods Sdn. Bhd.', 'Yong Dan Mohamad Faiz Sdn.Bhd.']"
mixstore,convenience_store,MiX Store @ SS15,"No.16, Jalan SS 15/4d, SS 15, 47500 Subang Jaya, Selangor",3.0735753,101.5883103,SS15,Selangor,"['Cincai Cafe', '余仁生 Eu Yan Sang', 'Lissage De Beauty']"
mixstore,convenience_store,MiX Store @ Greenlane x  Lazy Bird 2.0,"88-U, JALAN MASJID NEGERI, TAMAN ISLAND GLADES,11600 GEORGETOWN, PULAU PINANG.",5.3884269,100.3011833,Greenlane x  Lazy Bird 2.0,,"[""Wy's Home"", '心美发院', 'Condo Gembira Playground']"
mixstore,convenience_store,MiX Store @ Kelawai,"33, Jalan Kelawai, George Town, 10250 George Town, Pulau Pinang",5.4302569,100.3125211,Kelawai,Pulau Pinang,"['Shinkaya Biomech', '77 Food Yard 美食園', 'Pulau Tikus Mee Goreng']"
mixstore,convenience_store,MiX Flagship Store @ Iconic Point 👑,"NO.6, JALAN ICONIC POINT, 14100 SIMPANG AMPAT, PULAU PINANG.",5.2832924,100.4101441,Iconic Point 👑,,['newplace']
mixstore,convenience_store,MiX Flagship Store @ Sunway Carnival Mall 👑,"New Wing, 2F-37，Sunway Carnival Mall, Jalan Todak Pusat Bandar Seberang Jaya, Seberang Jaya, 13700 Perai, Pulau Pinang.",5.3985185,100.3958524,Sunway Carnival Mall 👑,Pulau Pinang,"['Crocs', 'Takasima Sunway Outlet', 'Lost World of Tambun']"
mixstore,convenience_store,MiX Flagship Store  @ Queensbay Mall,"LOT 3F -30,31,32,33&33A, Queensbay Mall, 100, Persiaran Bayan Indah, 11900 Bayan Lepas, Pulau Pinang",5.3331774,100.3066084,Queensbay Mall,Pulau Pinang,"['SOTHYS', 'Asam Pedas Premier - Queensbay Mall', 'Golf House']"
mixstore,convenience_store,MiX Flagship Store @ Macalister Road,"No 144, Jalan Macalister 10400 Georgetown Pulau Pinang",5.4161936,100.3224932,Macalister Road,Pulau Pinang,"['Cheng Leng Thuah 青靈壇', 'Poliklinik Mega', 'Travelodge Georgetown']"
mixstore,convenience_store,MiX Flagship Store @ Karpal Singh,"13A Persiaran Karpal Singh 2, 11600 Jelutong, Pulau Pinang",5.3994154,100.3223576,Karpal Singh,Pulau Pinang,"['Ka Auto Service Centre', 'BHPetrol', 'Petron']"
mixstore,convenience_store,MiX Flagship Store @ Gottlieb Road,"4-D, Jalan Gottlieb, 10350 Pulau Pinang (槟华学校同排)",5.4319604,100.2987532,Gottlieb Road,Pulau Pinang,"['Gardenku', 'Youth Park Carpark', 'Heap Seng Cafe']"
mixstore,convenience_store,MiX Flagship Store @ Icon City,"No.43, Jln Icon City, Bukit Tengah, 14000 Bukit Mertajam, Pulau Pinang",5.34346,100.433941,Icon City,Pulau Pinang,"['湘阁里辣', 'CO-', 'Chat Room Bistro']"
mixstore,convenience_store,MiX Store @ Tanjung Bungah,"No.1,Jalan Sungai Kelian,11200 Tanjung Bungah, Pulau Pinang.",5.4645093,100.029065,Tanjung Bungah,Pulau Pinang,['newplace']
mixstore,convenience_store,MiX Store @ Summerskye,"1-01-01, Jalan Sungai Tiram 8,Summerskye Residences, 11900 Bayan Lepas,Pulau Pinang.",none,none,Summerskye,Pulau Pinang,none
mixstore,convenience_store,MiX Store @ Chai Leng Park,"2977-G & 2978-G, Ground Floor, Chai Leng Complex, Jalan Baru, 13700 Seberang Perai, Penang.",5.3833692,100.3864589,Chai Leng Park,,"['Perumahan Kastam Perai', 'Fon Kok Fasterner Sdn Bhd', 'Sek. Keb. Khir Johari. Perai.']"
mixstore,convenience_store,MiX Store @ Ayer Itam,"38-H & G, Mukim 13, 11500, Ayer Itam, Pulau Pinang.",5.4050187,100.2828246,Ayer Itam,Pulau Pinang,"['SJK (C) Kong Min Pusat 公民总校', 'Excellent Cafe 新亞洲美食中心', 'Risen Christ Catholic Church']"
mixstore,convenience_store,MiX Store @ Bayan Baru,"2A-G-16, Solok Mayang Pasir, Quartermile 11950 Bayan Lepas, Penang.",5.3248391,100.2821772,Bayan Baru,,"['Yeah MoZe 夜猫子 Cafe', '凤凰现煮粿条馆 Inderawasih Koay Teow Soup', 'Eureka Hotel Penang']"
mixstore,convenience_store,MiX Store @ Butterworth,"No. 13A, Butterworth Business City Centre, Jalan Raja Uda, Kampung Baharu, 12300 Butterworth",5.4159907,100.381203,Butterworth,,"['VWalk Butterworth Business City Centre', 'BIG BARREL']"
mixstore,convenience_store,MiX Store @ ECO Bloom,"No. G-6, Pangsapuri Eco Bloom,Tingkat Eco Meadows 1,14100 Simpang Ampat Pulau Pinang",5.2588201,100.4669264,ECO Bloom,Pulau Pinang,"['ECO MEADOWS', '古巴泰国殿', 'Kedai Makan Mummy']"
