feature_name,feature_tag,Name,Address,Latitude,Longitude,Location,Nearest(poi)
familymart,convenience_store,FAMILYMART @KU/13,"G - 270, KU/13, Jalan Besar, 42200 Kapar",3.139033,101.369969,KU/13,"['Familymart', '99 Market Kapar Batu 10', 'Namena Beauty & Boutique']"
familymart,convenience_store,FAMILYMART @43200,"G-2A, Jalan Temenggung 7/9, Bandar Mahkota Cheras, 43200, Cheras, Selangor",3.05246,101.786923,43200,"['Axeana Baby & Me', 'Family Mart', 'Foot Massage']"
familymart,convenience_store,FAMILYMART @Jalan Pandan Indah 1/25,"Lot R.G.02, Level G, MidPoint Shopping Complex, Jalan Pandan Indah 1/25, Pandan Indah, 55100 Kuala Lumpur",3.132439,101.752562,Jalan Pandan Indah 1/25,"['Family Mart', 'Texas Chicken', 'Charren Image Hair Saloon']"
familymart,convenience_store,FAMILYMART @Section 13,"G-9 , Menara U, Jalan Boling Padang 13/62, Section 13, 40100 Shah Alam, Selangor",3.075804,101.551854,Section 13,"['Gamma Fitness', 'Family Mart Section 13', 'Restoran Ajwain']"
familymart,convenience_store,FAMILYMART @Ground Floor,"No.61, Ground Floor, Jalan Sultan Ismail, 50250 Wilayah Persekutuan Kuala Lumpur",3.147362,101.711262,Ground Floor,"['The Shawarma Factory', 'Al Bedouin Delights', 'Kebab G']"
familymart,convenience_store,FAMILYMART @Taman Sutera Utama,"95, Sutera Tanjung 8/2, Taman Sutera Utama, 81300 Skudai, Johor",1.514798,103.668885,Taman Sutera Utama,"['我的Food Court', 'Hotel Suan Bee', 'Kingston Hotel']"
familymart,convenience_store,FAMILYMART @Kelana Jaya,"F-G-02, Jalan SS6/ 5B, Dataran Glomac, Kelana Jaya, 47301 Petaling Jaya, Selangor",3.103634,101.60014,Kelana Jaya,"['Family Mart', 'Premio Stationery Sdn Bhd', 'Menara Optometry']"
familymart,convenience_store,FAMILYMART @Bandar Puchong Jaya,"G7, Jalan Kenari 4, Bandar Puchong Jaya, 47170 Puchong, Selangor",3.045468,101.620956,Bandar Puchong Jaya,"['Star Elite Table Tennis Centre', 'Family Mart Puchong Jaya', 'Fipper']"
familymart,convenience_store,FAMILYMART @Seksyen U3,"Lot 37011, No. PU 469, Jalan Subang Sungai Buloh, Seksyen U3, 40150 Shah Alam, Selangor",3.15339,101.553088,Seksyen U3,"['Caltex', 'Family Mart @ Caltex', 'CarWash Caltex Subang']"
familymart,convenience_store,FAMILYMART @Taman Selayang Utama,"No 3, Jalan SU 10, Taman Selayang Utama, 68100 Batu Caves, Selangor",3.237149,101.643538,Taman Selayang Utama,"['Family Mart Selayang', 'Max Automart Cash & Carry', 'Dapur Penyet']"
familymart,convenience_store,FAMILYMART @Bandar Sunway,"OB2.G.U2A, Oasis Boulevard, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor",3.069892,101.518563,Bandar Sunway,"['Pesta Buku Negeri Selangor', 'Grand Ballroom SACC', 'Westside Bistro']"
