feature_name,feature_tag,name,Address,Latitude,Longitude,Location,Nearest(poi)
99speedmart,convenience_store,99SpeedMart @Nzx Ara Jaya,"A-G-3A & A-G-5, Block A,  No:2, Jalan PJU 1A/41B,  Pusat Dagangan NZX, Ara Jaya,47301 Petaling Jaya,  Selangor Darul Ehsan.",3.114698,101.588697,Nzx Ara Jaya,"['TS Global Network Sdn Bhd', 'NORTHLAB SEAMS (M)SDN. BHD', 'Psychoacoustic Sound & Lights Sdn Bhd']"
99speedmart,convenience_store,99SpeedMart @TTDI Jaya,"No: 2 (Ground Floor),  Jalan U2/D, TTDI Jaya,  40150 Shah Alam,Selangor Darul Ehsan.",3.098554,101.555942,TTDI Jaya,"['OSI Technology Sdn Bhd', 'Kedai Gunting Rambut Pyramid', 'Klinik Mediviron TTDI Jaya']"
99speedmart,convenience_store,99SpeedMart @Bandar Pinggiran Subang 1,"No: 19 (Ground Floor),  Jalan Bulan BV U5/BV,  Bandar Pinggiran Subang,Seksyen U5, 40150 Shah Alam,  Selangor Darul Ehsan.",3.160324,101.547981,Bandar Pinggiran Subang 1,"['Kedai Runcit Anuar Bin Abdullah', 'Unisex Saloon @Subang 2', '7 Eleven Bandar Pinggiran Subang']"
99speedmart,convenience_store,99SpeedMart @Kuala Selangor 1,"No: 7 & 9 (Ground Floor),  Jalan Raja Abdullah,  45000 Kuala Selangor, Selangor Darul Ehsan.",3.340439,101.250404,Kuala Selangor 1,"['Sin Ban Ann', 'Restoran Rahmaniah', 'Restoran Rahmaniyah Pekan Kuala Selangor']"
99speedmart,convenience_store,99SpeedMart @USJ 1,"No.34,Jalan USJ 1/6C,USJ1 Subang,47620 Subang Jaya,Selangor Darul Ehsan.",3.048608,101.601336,USJ 1,"[""Subang Avenue's Corner"", 'Zam Seat Service', 'Wado Sakura Motorsport']"
99speedmart,convenience_store,99SpeedMart @Taman Medan Jaya,"J-G-7 & J-G-8 (Ground Floor), Block J, No.2A , Jalan PJS 2/1, Apartment Taman Medan Jaya, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.083094,101.627728,Taman Medan Jaya,"['Pasaraya KK', 'Klinik TTDI', 'Klinik Famili TTDI']"
99speedmart,convenience_store,99SpeedMart @Sungai Jati,"No.35, 37 & 39 (G), Jalan Mohd Tahir 8, Off Jalan Sungai Jati ,41000 Klang, Selangor Darul Ehsan.",3.013359,101.460047,Sungai Jati,"['Cdm Autoparts Sdn Bhd', 'MK Bicycle Shop', 'Restoran Sri Meena ( Nasi Daun Pisang )']"
99speedmart,convenience_store,99SpeedMart @Tanjong Sepat,"No.5,7 & 9(Ground Floor),Pusat Perniagaan Tanjong,Lorong pasar 1,Jalan Besar,Tanjong Sepat,42800 Kuala Langat,Selangor Darul Ehsan.",2.661451,101.558239,Tanjong Sepat,"['Sixty9 Restaurant', 'Poliklinik Idaman']"
99speedmart,convenience_store,99SpeedMart @Alam Megah 2,"No.10, 12 & 14 (Ground Floor), Jalan Labu 28/23, Seksyen 28, 40400 Shah Alam, Selangor Darul Ehsan.",3.004777,101.561081,Alam Megah 2,"['Klinik Lourdes', 'Restoran Minang Megah', 'Klinik Alam Megah - Ahmad Shah']"
99speedmart,convenience_store,99SpeedMart @Bandar Mahkota Cheras 1,"21(G),Jalan Temenggung 5/9, Sek.9,Bandar Mahkota Cheras,43200 Cheras,Selangor.",3.052063,101.788978,Bandar Mahkota Cheras 1,"['Asean Puppy Pet Shop', '肥婆板面', 'Nasi Lemak Famous Cafe']"
99speedmart,convenience_store,99SpeedMart @Pinggiran Batu Caves 1,"NO: 29, 31 & 33 (Ground Floor),  Jalan PGN 1A/1, Pinggiran Batu Caves,  68100 Batu Caves,Selangor Darul Ehsan.",3.250551,101.692242,Pinggiran Batu Caves 1,"['Damai Bistro', 'Azhan LP Enterprise', 'Klinik Hasniah & Elani']"
99speedmart,convenience_store,99SpeedMart @USJ 16,"No.5,Jalan USJ 16/2G,47630 Subang Jaya,Selangor Darul Ehsan.",3.032173,101.577432,USJ 16,"['Kedai Gunting Rambut Murugan USJ16', 'Auto Spa Clean & Shine', 'Pasar Segar']"
99speedmart,convenience_store,99SpeedMart @Bukit Tinggi 1,"No.35 & 37(Ground Floor), Jalan Batu Nilam 4, Bandar Bukit Tinggi, 41200 Klang, Selangor Darul Ehsan.",3.007681,101.435682,Bukit Tinggi 1,"['Fortune Noodles House', 'Restoran Pelita']"
99speedmart,convenience_store,99SpeedMart @Taman Saujana Puchong,"No.29(Ground Floor),Jalan SP 3/9,Taman Saujana Puchong,47100 Puchong,Selangor Darul Ehsan.",2.989949,101.640076,Taman Saujana Puchong,"['Monster Burger', 'Ikan Bakar Meletop', 'Restoran Al-Awwal Maju']"
99speedmart,convenience_store,99SpeedMart @Taman Sentosa Perdana,"No. 2(G), Jalan Temenggung 15/ KS 7, Off Sg. Jati,Taman Sentosa Perdana, 41200 Klang, Selangor Darul Ehsan.",3.005452,101.483254,Taman Sentosa Perdana,"['Sentosa Specialist Hospital', 'Diamond Shine Car Centre']"
99speedmart,convenience_store,99SpeedMart @Taman Wawasan Puchong,"No.40, 42 & 44,Jalan Wawasan 5/2,Pusat Bandar Puchong,47100 Puchong,Selangor Darul Ehsan.",3.025059,101.628329,Taman Wawasan Puchong,"['Kopitiam Kaki Bukit', '开心小厨 Kai Xin Little Kitchen', 'Restoran Hee Lin 囍臨海鮮餐館']"
99speedmart,convenience_store,99SpeedMart @Sunway MAS,"No: 22-1 & 22A-1 (Ground Floor),  Jalan PJU 1/3A,  SunwayMas Commercial Centre,47301 Petaling Jaya,  Selangor Darul Ehsan.",3.120547,101.599018,Sunway MAS,"['Restoran Hua Shen (华绅风味食馆)', 'Restoran Heong Hong Kee 香红饭店', '冼都阿叶福建面']"
99speedmart,convenience_store,99SpeedMart @Taman Putra Perdana,"No.2,Jalan Putra Perdana 2/3,Taman Putra Perdana,47100 Puchong,Selangor Darul Ehsan.",2.947262,101.618597,Taman Putra Perdana,"['Klinik 1Malaysia', 'Burger Oblong', 'Cosway @ Taman Putra Perdana']"
